Nome da concessionária,CNPJ,E-mail,Telefone,Marca,Modelo,Ano de fabricação,Cor,Preço,Disponibilidade em estoque,Número de portas,Volume do porta malas,Ar condicionado,Tipo de câmbio,Tipo de assento,Suspensão traseira,Tipo de guidão
Concessionária B,54.321.987/0001-02,contato@concessionariaa.com,(11) 98765-4321,Dafra,Falcon,2014,Azul,72721,Disponível,-,-,-,-,Sport,Amortecedor a gás,Baixo
Concessionária C,12.345.678/0001-90,contato@concessionariae.com,(11) 98765-4321,Harley Davidson,XBR,2019,Laranja,148780,Indisponível,-,-,-,-,Touring,Múltiplos pontos de fixação,Alto
Concessionária D,23.456.789/0001-04,contato@concessionariad.com,(21) 91234-5678,Avelloz,Falcon,2024,Cinza,51388,Disponível,-,-,-,-,Sport,Múltiplos pontos de fixação,Reto
Concessionária B,65.432.109/0001-03,contato@concessionariad.com,(51) 92345-6789,Triumph,Biz,2015,Amarelo,70378,Disponível,-,-,-,-,Touring,Mola,Reto
Concessionária B,98.765.432/0001-01,contato@concessionariab.com,(41) 99876-5432,Yamaha,Twister,2019,Verde,105000,Disponível,-,-,-,-,Solo,Amortecedor a gás,Alto
Concessionária B,23.456.789/0001-04,contato@concessionariac.com,(51) 92345-6789,Ducati,GSX,2019,Azul,123925,Indisponível,-,-,-,-,Bench,Múltiplos pontos de fixação,Reto
Concessionária D,12.345.678/0001-90,contato@concessionariac.com,(31) 98765-1234,Dafra,Ninja,2011,Laranja,115836,Indisponível,-,-,-,-,Touring,Múltiplos pontos de fixação,Baixo
Concessionária D,23.456.789/0001-04,contato@concessionariab.com,(21) 91234-5678,Harley Davidson,CG,2010,Verde,74137,Disponível,-,-,-,-,Bench,Múltiplos pontos de fixação,Em
Concessionária E,65.432.109/0001-03,contato@concessionariac.com,(11) 98765-4321,Yamaha,Biz,2011,Verde,34000,Disponível,-,-,-,-,Duplo,Pneumática,Em
Concessionária B,98.765.432/0001-01,contato@concessionariac.com,(51) 92345-6789,Avelloz,CG,2018,Amarelo,125619,Indisponível,-,-,-,-,Sport,Suspensão independente,Alto
Concessionária B,12.345.678/0001-90,contato@concessionariad.com,(41) 99876-5432,Triumph,Twister,2013,Vermelho,81477,Indisponível,-,-,-,-,Touring,Mola,Abatido
Concessionária A,23.456.789/0001-04,contato@concessionariac.com,(11) 98765-4321,Dafra,GSX,2019,Vermelho,99378,Indisponível,-,-,-,-,Solo,Múltiplos pontos de fixação,Em
Concessionária C,23.456.789/0001-04,contato@concessionariad.com,(11) 98765-4321,Ducati,XBR,2022,Cinza,60945,Disponível,-,-,-,-,Duplo,Mola,Baixo
Concessionária B,23.456.789/0001-04,contato@concessionariac.com,(11) 98765-4321,Yamaha,Biz,2019,Branco,101087,Disponível,-,-,-,-,Bench,Pneumática,Reto
Concessionária D,65.432.109/0001-03,contato@concessionariab.com,(41) 99876-5432,Yamaha,GSX,2015,Prata,70463,Indisponível,-,-,-,-,Touring,Pneumática,Em
Concessionária D,54.321.987/0001-02,contato@concessionariae.com,(51) 92345-6789,Harley Davidson,Ninja,2022,Branco,148780,Disponível,-,-,-,-,Sport,Amortecedor a gás,Abatido
Concessionária D,54.321.987/0001-02,contato@concessionariac.com,(11) 98765-4321,Ducati,Twister,2013,Branco,83091,Disponível,-,-,-,-,Touring,Pneumática,Abatido
Concessionária C,23.456.789/0001-04,contato@concessionariab.com,(11) 98765-4321,Avelloz,GSX,2017,Roxo,129816,Indisponível,-,-,-,-,Touring,Suspensão independente,Em
Concessionária E,65.432.109/0001-03,contato@concessionariad.com,(11) 98765-4321,Triumph,Biz,2019,Roxo,57240,Disponível,-,-,-,-,Sport,Mola,Em
Concessionária D,54.321.987/0001-02,contato@concessionariad.com,(41) 99876-5432,Dafra,CG,2015,Preto,141750,Indisponível,-,-,-,-,Duplo,Suspensão independente,Em
Concessionária E,12.345.678/0001-90,contato@concessionariae.com,(51) 92345-6789,Avelloz,XBR,2013,Verde,53083,Disponível,-,-,-,-,Solo,Mola,Baixo
Concessionária A,65.432.109/0001-03,contato@concessionariab.com,(21) 91234-5678,Triumph,GSX,2012,Laranja,133781,Disponível,-,-,-,-,Touring,Suspensão independente,Alto
Concessionária C,65.432.109/0001-03,contato@concessionariaa.com,(21) 91234-5678,Ducati,Ninja,2013,Vermelho,148780,Indisponível,-,-,-,-,Solo,Amortecedor a gás,Baixo
Concessionária A,12.345.678/0001-90,contato@concessionariae.com,(41) 99876-5432,Harley Davidson,Biz,2012,Cinza,64772,Disponível,-,-,-,-,Touring,Mola,Baixo
Concessionária E,12.345.678/0001-90,contato@concessionariad.com,(11) 98765-4321,Yamaha,XBR,2022,Branco,37465,Disponível,-,-,-,-,Touring,Mola,Abatido
